name,description,killed,year,duration,country
,"Japan, Germany-US,USSR,Britain, China,others, 1937-45",40409000,1937,8,Japan
First World War,"First World War, 1914-18",19617000,1914,4,First World War
Thirty Years' War,"Thirty Years' War, 1618-48",8000000,1618,30,Thirty Years' War
Genocide of Jews,"Germany (massacre of Jews), 1941-42 G",6000000,1941,1,Germany
Napoleonic Wars,"Napoleonic Wars, 1803-15",4425000,1803,12,Napoleonic Wars
Taiping Rebellion,"China, 1850-65",2000000,1850,15,China
War of the Spanish Revolution,"Spain (with intervention by Germany, Italy), 1936-39",2000000,1936,3,Spain
Sino-Japanese War,"Japan-China, 1937-45",2000000,1937,8,Japan
Wars of the French Revolution,"Wars of the French Revolution, 1791-1802",1915000,1791,11,Wars of the French Revolution
Politicide of defeated,"China, 1950-51 G",1900000,1950,1,China
Politicide of opponents,"Cambodia, 1975-79 G",1900000,1975,4,Cambodia
Genocide of Armenians,"Turkey, 1909-18 G",1883000,1909,9,Turkey
Vietnamese War,"Vietnam, 1964-75",1800000,1964,11,Vietnam
Democide in Poland,"Poland, 1945-48 G",1585000,1945,3,Poland
Korean War,"North Korea (aided by Chinese)-South Korea (aided by UN forces), 1950-53",1500000,1950,3,North_Korea
Chinese Civil War,"China (communists), 1927-36",1250000,1927,9,China
War of Spanish Succession,"Austria, UK, UP, Prussia, German, Port, Savoy-France, Spain, Bav, 1701-14",1205000,1701,13,Austria
,"Turkey-Armenia, 1915-18",1200000,1915,3,Turkey
Indochina War,"Vietnam-France, 1946-54",1200000,1946,8,Vietnam
Lopez War,"Paraguay-Brazil, Uruguay, Argentina, 1864-70",1100000,1864,6,Paraguay
,"Nigeria (Biafra), 1967-70",1100000,1967,3,Nigeria
,"China-Dzoungars (northwest China), 1755-57",1000000,1755,2,China
Chinese Civil War (Phase 3),"China (with US intervention), 1945-49",1000000,1945,4,China
Afghan Civil War,"Afghanistan (with Russian intervention), 1978-99 G",1000000,1978,21,Afghanistan
Genocide of Southerners,"Sudan, 1983- G",1000000,1983,,Sudan
Seven Years' War,"Prussia, Britain, Portugal-France, Austria, Russia, Sweden, Savoy, Spain, 1756-63",988000,1756,7,Prussia
,"Mozambique, 1979-1992",900000,1979,13,Mozambique
Danish War (Thirty Years' War),"Denmark, Brunswick, Saxe-Weimar, Mecklenburg, emperor, Spain, Bavaria, 1625-29",825000,1625,4,Denmark
American Civil War,"USA, 1861-65",820000,1861,4,United_States
,"China (Ming)-Qing (Jiangsu, Zhejiang, Fujian), 1644-62",817000,1644,18,China
Second Northern War,"Denmark, Saxony, Poland, Russia, Prussia, Hanover, Britain-Sweden, Turkey, 1700-21",800000,1700,21,Denmark
Politicide of repatriated nationals,"Soviet Union, 1943-47 G",800000,1943,4,Soviet Union
,"India (inter-communal), 1946-48",800000,1946,2,India
First Kashmir War,"Pakistan-India (Kashmir), 1947-49",800000,1947,2,Pakistan
Crimean War,"Turkey, Britain, France, Sardinia-Russia, Greece (1854), 1853-56",772000,1853,3,Turkey
Genocide of Chinese and Communists,"Indonesia, 1965-66 G",750000,1965,1,Indonesia
The Great Russian Civil War,"Russia, 1917-21",700000,1917,4,Russia
,"Sudan (south-north), 1955-72",700000,1955,17,Sudan
Napoleonic War of Liberation,"France-Britain, Russia, Sweden, Austria, Prussia, 1813-14",692000,1813,1,France
Iran-Iraq War,"Iraq-Iran, 1980-88",650000,1980,8,Iraq
Politicide of Cultural Revolution,"China, 1966-75 G",625000,1966,9,China
War of the Grand Alliance,"France, Savoy-Cologne, Austria, Prussia, German states, UK, UP, Spain, Savoy, 1688-97",580000,1688,9,France
Napoleonic War with England,"France-Britain, 1803-14",536400,1803,11,France
Bangladesh War,"Pakistan (East Bengal with intervention by India), 1971 G",500000,1971,0,Pakistan
Politicide of civilians,"Mozambique, 1980-92 G",500000,1980,12,Mozambique
Genocide of Tutsis and moderate Hutus,"Rwanda, 1994 G",500000,1994,0,Rwanda
War of the Second Coalition,"France-Britain, Russia, Austria, Turkey, Portugal, Naples, 1798-1800",444270,1798,4,France
Dutch-Spanish War (Eighty Years War),"Spain-United Provinces, 1621-48",424500,1621,27,Spain
Habsburg-Ottoman War,"Turkey, Hungary (until 1687), Transylvania-Austria, German states, Poland, Venice, Russia (from 1685), 1683-99",384000,1683,16,Turkey
,"Angola (with intervention by South Africa and Cuba), 1975-95 G",345800,1975,16,Angola
French Revolutionary War of the First Coalition,"France-Austria, Prussia, Spain, Sardinia, Holland, Naples, 1792-1798",330800,1792,6,France
War of Austrian Succession,"Britain, Austria, United Provinces-Spain, Prussia, France, Bavaria, 1740-48",330270,1740,8,United_Kingdom
Dutch War of Louis XIV,"France, Cologne, UK, Sweden-UP, Brandenburg, Spain, Austria, Germany, Denmark, 1672-78",307000,1672,6,France
,"South Vietnam (with intervention by North Vietnam, USA and others), 1956-64",302000,1956,8,South Vietnam
Caste War,"Mexico (Mayans), 1847-58",300000,1847,11,Mexico
Balkan War,"Bosnia, Herzegovina (aided by Montenegro, Serbia, Russia)-Turkey, 1875-78",300000,1875,3,Bosnia
La Violencia,"Colombia, 1949-62",300000,1949,13,Colombia
Genocide of Southern Sudanese,"Sudan, 1956-72 G",300000,1956,16,Sudan
Politicide of opponents to Amin,"Uganda, 1971-79 G",300000,1971,8,Uganda
White Lotus War,"China (White Lotus sect), 1796-1804",275000,1796,8,China
Bohemian War (Thirty Years War),"Emperor, Bavaria, Spain, Sax-Boh, Silesia, Moravia, Palatinate, Transylvania, 1618-22",250000,1618,4,Emperor
,"China (Moslems in Shensi and Kansu), 1861-73",250000,1861,12,China
,"China (Muslims in Turkestan), 1863-78",250000,1863,15,China
Maji-Maji Revolt ?,"Tanganyikans (Maji-Maji)-Germany, 1905-07",250000,1905,2,Tanganyikans
War of the Mexican Revolution,"Mexico (with intervention by USA), 1910-20",250000,1910,10,Mexico
Ethiopian War,"Italy-Ethiopia, 1935-37",250000,1935,2,Italy
Politicide of Ukrainian nationalists,"Soviet Union, 1947-50 G",250000,1947,3,Soviet Union
Algerian War of Independence,"Algerians-France, 1954-62",250000,1954,8,Algerians
,"Bosnia (with intervention by Croatia), 1992-95",250000,1992,3,Bosnia
Genocide in Caucusus,"Soviet Union, 1943-57 G",230000,1943,14,Soviet Union
Franco-Prussian War,"Prussia, German states-France, 1870-71",228000,1870,1,Prussia
Russo-Finish War,"Soviet Union-Finland, 1939-40",225000,1939,1,Soviet Union
Russo-Turkish War,"Russia, Rumania-Turkey, 1877-78",218000,1877,1,Russia
Napoleonic War (Russian Expedition),"France-Russia, 1812",212600,1812,0,France
,"China (Ming)-Anda (Hebei, Shanxi), 1541-42",200000,1541,1,China
Cossack Rebellion,"Poland (Cossacks in Ukraine supported by Tartars), 1648-49",200000,1648,1,Poland
Austro-Russian-Turkish War,"Austria, Russia-Turkey, 1736-39",200000,1736,3,Austria
Dutch-Achinese War,"Holland-Atjeh (Sumatra), 1873-79",200000,1873,6,Netherlands
Spanish-American War,"USA-Spain, 1898",200000,1898,0,United_States
Chinese Muslims War,"China (Muslims in Kansu), 1928",200000,1928,0,China
,"China (communists), 1930-35",200000,1930,5,China
Chaco War,"Bolivia-Paraguay, 1932-35",200000,1932,3,Bolivia
Second Turkish War with Russia,"Turkey-Russia, Austria, Montenegro, 1787-92",191500,1787,5,Turkey
Turkish War with Russia,"Russia-Turkey, 1806-12",170000,1806,6,Russia
Russo-Japanese War,"Japan-Russia, 1904-05",170000,1904,1,Japan
,"Lebanon (with intervention by Syria), 1975-90",169500,1975,15,Lebanon
Fourth Franco-Prussian War (Napoleonic Wars),"France-Austria, 1809",160000,1809,0,France
Greek Civil War,"Greece (with intervention from Yugoslavia, Bulgaria, Albania, Britain, US), 1946-49",160000,1946,3,Greece
,"Cambodia (with intervention by USA and North Vietnam), 1969-75",156000,1969,6,Cambodia
Napoleonic War (Franco-Prussian War),"France-Prussia, Saxony, 1806",154600,1806,0,France
Genocide of Hutu,"Burundi, 1965-73 G",154000,1965,8,Burundi
,"Moguls (Afghanistan)-Lodis (Punjab), 1525-26",150000,1525,1,Moguls
Cuban Revolt (Ten Years War),"Cubans-Spain, 1868-78",150000,1868,10,Cubans
Colombian Civil War,"Colombia (Liberals), 1899-1903",150000,1899,4,Colombia
,"Ethiopia (Eritrea) (with Cuban intervention), 1961-91",150000,1961,30,Ethiopia
Peasant's War,"German states (peasants in Saxony), 1524-25",145000,1524,1,German states
French War (Thirty Years' War) in Germany,"France, Savoy, Parma-Spain, emperor, Bavaria, Brandenburg, Saxony, 1635-48",130300,1635,13,France
Russo-Turkish War,"Russia-Turkey, 1828-29",130000,1828,1,Russia
Cuban Insurrection,"Cubans (assisted by USA)-Spain, 1895-98",130000,1895,3,Cubans
East Timor War,"Indonesia-East Timor, 1975-78 G",130000,1975,3,Indonesia
Dutch War of Independence (Eighty Years War),"Netherlands-Spain, 1566-1609",129300,1566,43,Netherlands
Vietnamese-Cambodian War,"Vietnam-Cambodia, 1977-79",125000,1977,2,Vietnam
,"China (Jinchuan in Szechuan), 1771-76",120000,1771,5,China
Punjab War,"India-Sikhs, 1799-1802",120000,1799,3,India
Greek War of Independence,"Greece (aided by France, Britain, Russia, Venice)-Turkey, Egypt, 1821-29",120000,1821,8,Greece
Second Philippine War,"Filipinos-USA, 1899-1902",120000,1899,3,Filipinos
Genocide in Crimea,"Soviet Union, 1944-68 G",116000,1944,24,Soviet Union
,"Congo (with intervention by the UN), 1960-65",110000,1960,5,Congo
Franco-Spanish War,"France-Spain (with British intervention), 1635-59",108000,1635,13,France
,"Rwanda, 1959-61",105000,1959,2,Rwanda
,"Iraq (Kurds), 1961-70",105000,1961,9,Iraq
,"Uganda, 1980-86",102000,1980,6,Uganda
,"Yemen (with intervention by Egypt, Saudi Arabia), 1962-70",101000,1962,8,Yemen
,"China (Ming)-Mongols (Mongolia), 1409-24",100000,1409,15,China
Conquest of Mexico,"Spain-Aztecs (Mexico), 1519-21",100000,1519,2,Spain
Turkish War with Venice over Crete,"Turkey-Venice (assisted by France, German states) (Crete), 1645-69",100000,1645,24,Turkey
Hungarian Revolt,"Austria, Russia-Hungary, 1848-49",100000,1848,1,Austria
Russo-Polish War,"Poland-Russia, 1919-20",100000,1919,1,Poland
Greco-Turkish War,"Turkey-Greece (aided by France, Britain, Italy), 1920-22",100000,1919,3,Turkey
Tibetan War,"China-Tibet, 1956-59",100000,1956,3,China
,"Burundi (Hutus), 1972",100000,1972,0,Burundi
,"Spain-Netherlands, 1589-1607",98000,1589,18,Spain
Fifth War of Charles V (Last Valois-Hapsburg War),"Spain, Emperor-France, Saxony, 1551-55",95000,1551,4,Spain
Napoleonic War (Peninsular War),"France-Spain, Portugal, Britain, 1807-14",93840,1807,7,France
,"Muscovy, Tartars-(Poland-Lithuania), Livonian Order, 1500-03",93600,1500,3,Muscovy
Hungarian War,"Turkey, Tartars-emperor, pope, 1593-1606",90000,1593,13,Turkey
Swedish Invasion of Russia,"Sweden-Russia, Denmark, 1788-90",90000,1788,2,Sweden
War for the Polish Throne,"France, Spain, Sardinia-Austria, Russia, Saxony, Prussia, 1733-35",85000,1733,2,France
Fulani Jihad,"Fulani-Hausa, Bornu, 1804-10",85000,1804,6,Fulani
Zulu-Ndwandwe War,"Zulu-Ndwandwe (Bantu), 1818-19",85000,1818,1,Zulu
,"Somalia (Somaliland), 1982-91",85000,1982,9,Somalia
First Balkan War,"Montenegro, Bulgaria, Greece, Serbia-Turkey, 1912-13",82000,1912,1,Montenegro
,"Poland (Cossacks) (with intervention by Tatars), 1651-54",80000,1651,3,Poland
,"Colombia (massacre of revolutionaries, 1879",80000,1879,0,Colombia
,"Germany-Herreros, Nama, Bondzelwarts (Namibia), 1903-07",80000,1903,4,Germany
Austro-Prussian (Seven Weeks) War,"Prussia, German states-Austria, German states, 1866",78978,1866,0,Prussia
French Revolutionary War with England,"France-England, 1793-1800",77840,1793,7,France
Phase 3 of Hundred Years War,"England-France, 1415-44",77000,1415,29,England
Fourth War of Charles V,"France, Cleves, Denmark, Sweden-emperor, 1542-44",77000,1542,2,France
Napoleonic War of the Third Coalition,"France-Britain, Russia, Austria, Sweden, 1805-07",76000,1805,2,France
Third War of Charles V,"France-Savoy, emperor, 1536-37",75000,1536,1,France
Nien Rebellion,"China (Anhwei, Honan, Shantung), 1853-68",75000,1853,15,China
,"China, 1860-72",75000,1860,12,China
Chinese Civil War,"China (Chang), 1929-30",75000,1929,1,China
,"El Salvador, 1979-92",75000,1979,13,El_Salvador
Politicide against opponents,"Uganda, 1979-86 G",75000,1979,7,Uganda
Genocide of Hutus,"Burundi, 1988 G",75000,1988,0,Burundi
Portuguese-Spanish War,"Portugal (with British assistance)-Spain, 1657-65",73440,1657,8,Portugal
,"Guatemala, 1976-95",73000,1976,19,Guatemala
Battle of Tumubao,"China (Ming)-Mongolia (Liaoning to Gansu), 1449-50",65000,1449,1,China
First Serbian Insurrection,"Serbia-Turkey, 1804-13",65000,1804,9,Serbia
Swedish War with Russia over Finland,"Russia, Denmark-Sweden, Finland, 1808-09",65000,1808,1,Russia
Punjab War,"Afghanistan-Punjab, 1810-20",65000,1810,0,Afghanistan
Northern Expedition,"China (Nationalists, warlords, Communists), 1926",65000,1926,2,China
,"China (Tibet), 1959 G",65000,1959,0,China
